mode	db_path	table	row_count	columns
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ascend_task.db	AscendTask	146937	model_id,index_id,stream_id,task_id,context_id,batch_id,start_time,duration,host_task_type,device_task_type,connection_id
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/freq.db	FreqParse	31	syscnt,freq
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/metric_summary.db	MetricSummary	128597	task_id,stream_id,subtask_id,batch_id,aic_total_time,aic_total_cycles,aic_mac_time,aic_mac_ratio_extra,aic_scalar_time,aic_scalar_ratio,aic_mte1_time,aic_mte1_ratio_extra,aic_mte2_time,aic_mte2_ratio,aic_fixpipe_time,aic_fixpipe_ratio,aic_icache_miss_rate,aiv_total_time,aiv_total_cycles,aiv_vec_time,aiv_vec_ratio,aiv_mac_time,aiv_mac_ratio,aiv_scalar_time,aiv_scalar_ratio,aiv_mte1_time,aiv_mte1_ratio,aiv_mte2_time,aiv_mte2_ratio,aiv_mte3_time,aiv_mte3_ratio,aiv_icache_miss_rate
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	ge_task_merge	129990	model_id,op_name,op_type,task_type,task_id,stream_id,batch_id,context_id
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	op_report	65	op_type,core_type,occurrences,total_time,min,avg,max,ratio
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/op_counter.db	rts_task	146937	task_id,stream_id,start_time,duration,task_type,index_id,model_id,batch_id,subtask_id
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/step_trace.db	DeviceTaskFlip	3	stream_id,timestamp,task_id,flip_num
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/time.db	Time	1	device_id,dev_mon,dev_wall,dev_cntvct,host_mon,host_wall
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/voltage.db	AicVoltage	31	syscnt,voltage
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/api_event.db	ApiData	707529	struct_type,id,level,thread_id,item_id,start,end,connection_id
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/ge_hash.db	GeHashInfo	275	hash_key,hash_value
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/host/sqlite/ge_hash.db	TypeHashInfo	867	hash_key,hash_value,level
