mode	input_cap_tokens	target_prefix_ratio_pct	common_metric	stage	value	unit	policy
prefix_cache_on	65536	30	Concurrency	total	2.898786	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Request Throughput	total	0.025228	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Total Input Tokens	total	196608.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Prefill Token Throughput	total	1653.334543	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Input Token Throughput	total	1653.334543	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Output Token Throughput	total	25.833352	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Total Token Throughput	total	1679.167896	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Benchmark Duration	total	110375.985	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Concurrency	total	2.936535	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Request Throughput	total	0.02718	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Total Input Tokens	total	196608.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Prefill Token Throughput	total	1781.257037	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Input Token Throughput	total	1781.257037	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Output Token Throughput	total	27.832141	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	60	Total Token Throughput	total	1809.089178	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Benchmark Duration	total	100230.769	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Concurrency	total	2.979352	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Request Throughput	total	0.029931	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Total Input Tokens	total	196608.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Prefill Token Throughput	total	1961.553343	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Input Token Throughput	total	1961.553343	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Output Token Throughput	total	30.649271	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	90	Total Token Throughput	total	1992.202614	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Benchmark Duration	total	157844.353	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Concurrency	total	2.847597	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Request Throughput	total	0.019006	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Total Input Tokens	total	393216.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Prefill Token Throughput	total	2491.162924	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Input Token Throughput	total	2491.162924	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Output Token Throughput	total	19.46221	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	30	Total Token Throughput	total	2510.625135	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Benchmark Duration	total	131038.249	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Concurrency	total	2.895511	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Request Throughput	total	0.022894	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Total Input Tokens	total	393216.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Prefill Token Throughput	total	3000.772698	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Input Token Throughput	total	3000.772698	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Output Token Throughput	total	23.443537	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	60	Total Token Throughput	total	3024.216235	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Benchmark Duration	total	103852.638	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Concurrency	total	2.964505	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Request Throughput	total	0.028887	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Total Input Tokens	total	393216.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Prefill Token Throughput	total	3786.288029	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Input Token Throughput	total	3786.288029	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Output Token Throughput	total	29.580375	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	131072	90	Total Token Throughput	total	3815.868404	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_off	8192	30	Benchmark Duration	total	92523.108	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
