source	path	table_or_json	column_or_key	type_or_value
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ge_summary	timestamp	TEXT
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	task_time	start_time	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	task_time	duration_time	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	task_time	wait_time	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aic_total_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aic_mac_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aic_scalar_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aic_mte1_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aic_mte2_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aic_fixpipe_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_total_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_vec_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mac_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_scalar_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mte1_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mte2_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/metric_summary.db	MetricSummary	aiv_mte3_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/step_trace.db	DeviceTaskFlip	timestamp	NUMERIC
