db_path	table	column	type
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	ge_task_merge	stream_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	ge_task_merge	batch_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	ge_task_merge	context_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	op_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	core_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	occurrences	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	total_time	REAL
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	min	REAL
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	avg	REAL
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	max	REAL
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	ratio	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	task_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	stream_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	start_time	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	duration	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	task_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	index_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	model_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	batch_id	INTEGER
