case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap65536_prefix90_warmup_01	prefix_cache_on	cap65536_prefix90	warmup	1	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	0	200	1265608435612155	1265617866861445	1265704371472062	9431249	84559	86504610	95935859	10.673798	1024	1024	83606	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_measured_01	prefix_cache_on	cap65536_prefix90	measured	1	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	0	200	1265704380051959	1265706244789846	1265803366901476	1864737	94938	97122111	98986849	10.344809	1024	1024	91782	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_measured_02	prefix_cache_on	cap65536_prefix90	measured	2	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	100	200	1265704482269907	1265708143677842	1265804089813926	3661407	93788	95946136	99607544	10.280346	1024	1024	91642	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_measured_03	prefix_cache_on	cap65536_prefix90	measured	3	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	200	200	1265704582426455	1265709663211299	1265804610821821	5080784	92812	94947610	100028395	10.237093	1024	1024	91545	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_warmup_01	prefix_cache_on	cap131072_prefix30	warmup	1	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	0	200	1265933542339326	1265955253532795	1266041191018330	21711193	84005	85937485	107648679	9.512425	1024	1024	83754	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_measured_01	prefix_cache_on	cap131072_prefix30	measured	1	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	0	200	1266041200650447	1266058022235608	1266183009636233	16821585	122177	124987400	141808985	7.220981	1024	1024	91609	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_measured_02	prefix_cache_on	cap131072_prefix30	measured	2	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	100	200	1266041304615292	1266081605731580	1266191332564548	40301116	107259	109726832	150027949	6.825395	1024	1024	91445	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_measured_03	prefix_cache_on	cap131072_prefix30	measured	3	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	200	200	1266041404827729	1266105497040029	1266199045003974	64092212	91444	93547963	157640176	6.495806	1024	1024	91103	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_warmup_01	prefix_cache_on	cap131072_prefix60	warmup	1	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	0	200	1266326536602533	1266348258357088	1266436248331986	21721754	86011	87989974	109711729	9.333551	1024	1024	85689	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_measured_01	prefix_cache_on	cap131072_prefix60	measured	1	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	0	200	1266436258414223	1266447185800209	1266558262358622	10927385	108579	111076558	122003944	8.393171	1024	1024	89814	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_measured_02	prefix_cache_on	cap131072_prefix60	measured	2	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	100	200	1266436362090919	1266461390740504	1266562946595437	25028649	99272	101555854	126584504	8.089458	1024	1024	89797	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_measured_03	prefix_cache_on	cap131072_prefix60	measured	3	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	200	200	1266436462438536	1266475501506029	1266567296663312	39039067	89731	91795157	130834224	7.826698	1024	1024	89563	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_warmup_01	prefix_cache_on	cap131072_prefix90	warmup	1	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	0	200	1266695575243412	1266717049565199	1266802152232819	21474321	83189	85102667	106576989	9.608078	1024	1024	83087	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_measured_01	prefix_cache_on	cap131072_prefix90	measured	1	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	0	200	1266802162073046	1266806122837209	1266903682099341	3960764	95365	97559262	101520026	10.08668	1024	1024	89912	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_measured_02	prefix_cache_on	cap131072_prefix90	measured	2	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	100	200	1266802265778041	1266810126450049	1266904968827486	7860672	92710	94842377	102703049	9.970493	1024	1024	89908	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_measured_03	prefix_cache_on	cap131072_prefix90	measured	3	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	200	200	1266802366149478	1266813754592412	1266906014711801	11388442	90185	92260119	103648562	9.879539	1024	1024	89895	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
